127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:19:37, GET, /artfweb/appadmin, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-03-04 05:19:37, GET, /appadmin/hooks, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-03-04 05:19:40, GET, /appadmin/select/db, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-03-04 05:19:47, GET, /, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 05:19:49, GET, /artfweb/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:19:49, GET, /artfweb/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:19:50, GET, /user/register, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-03-04 05:20:01, POST, /user/register, HTTP/1.1, 303, 0.286000
127.0.0.1, 2015-03-04 05:20:01, GET, /, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-03-04 05:20:08, GET, /appadmin/select/db, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/jquery.js, HTTP/1.1, 304, 0.001000
0.001000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:20:08, GET, /artfweb/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:22:35, GET, /user/register, HTTP/1.1, 303, 0.010000
127.0.0.1, 2015-03-04 05:22:35, GET, /user/profile, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-03-04 05:22:35, GET, /user/register, HTTP/1.1, 303, 0.009000
127.0.0.1, 2015-03-04 05:22:35, GET, /user/profile, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-03-04 05:22:42, GET, /user/logout, HTTP/1.1, 303, 0.072000
127.0.0.1, 2015-03-04 05:22:42, GET, /, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-03-04 05:22:46, GET, /user/register, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-03-04 05:23:59, GET, /, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-03-04 05:24:24, GET, /artfweb/appadmin, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-03-04 05:24:24, GET, /appadmin/hooks, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-03-04 05:24:27, GET, /appadmin/select/db, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-03-04 05:31:38, GET, /artfweb/static/img/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-03-04 05:31:38, GET, /user/register, HTTP/1.1, 200, 0.143000
127.0.0.1, 2015-03-04 05:31:49, POST, /user/register, HTTP/1.1, 303, 0.195000
127.0.0.1, 2015-03-04 05:31:49, GET, /, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-03-04 05:31:59, GET, /appadmin/select/db, HTTP/1.1, 200, 0.036000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/jquery.js, HTTP/1.1, 304, 0.001000
00
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000

127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:31:59, GET, /artfweb/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:32:03, GET, /appadmin, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-03-04 05:32:03, GET, /appadmin/hooks, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-03-04 05:32:05, GET, /appadmin/select/db, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-03-04 05:35:06, GET, /default, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-03-04 05:35:09, GET, /level-editor, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-03-04 05:35:14, GET, /editor, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-03-04 05:37:03, GET, /editor, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/css/calendar.css, HTTP/1.1, 304, 0.001000
